date,region,scheduled_maintenance,avg_rack_temperature_c,power_usage_mw,network_latency_ms,support_tickets,capacity_used_pct,day_of_week,day_of_month,days_since_start,support_tickets_next_1d
2026-01-01,bhs,0,55.04,0.601,21.54,6,54.9,3,1,0,5
2026-01-02,bhs,0,55.49,0.5,23.13,5,75.41,4,2,1,3
2026-01-03,bhs,0,52.26,0.54,21.86,3,52.25,5,3,2,3
2026-01-04,bhs,0,50.62,0.483,18.65,3,61.28,6,4,3,5
2026-01-05,bhs,0,57.09,0.493,19.49,5,45.81,0,5,4,5
2026-01-06,bhs,0,56.43,0.615,24.03,5,73.66,1,6,5,9
2026-01-07,bhs,1,56.53,0.779,22.17,9,80.38,2,7,6,3
2026-01-08,bhs,0,55.98,0.494,25.85,3,64.12,3,8,7,5
2026-01-09,bhs,0,55.47,0.605,14.89,5,93.01,4,9,8,8
2026-01-10,bhs,0,52.04,0.582,21.36,8,49.72,5,10,9,5
2026-01-11,bhs,0,51.8,0.503,23.77,5,77.55,6,11,10,3
2026-01-12,bhs,0,55.26,0.552,29.62,3,64.97,0,12,11,2
2026-01-13,bhs,0,55.62,0.475,25.41,2,67.75,1,13,12,4
2026-01-14,bhs,0,55.97,0.526,21.14,4,62.86,2,14,13,4
2026-01-15,bhs,0,54.06,0.642,14.9,4,74.05,3,15,14,2
2026-01-16,bhs,0,52.58,0.457,11.32,2,69.59,4,16,15,7
2026-01-17,bhs,0,50.92,0.533,19.31,7,58.76,5,17,16,5
2026-01-18,bhs,0,49.14,0.64,24.7,5,67.6,6,18,17,6
2026-01-19,bhs,0,54.12,0.451,14.51,6,62.1,0,19,18,3
2026-01-20,bhs,0,52.45,0.39,10.36,3,73.28,1,20,19,6
2026-01-21,bhs,0,54.29,0.803,11.54,6,85.06,2,21,20,3
2026-01-22,bhs,0,54.23,0.533,17.49,3,55.57,3,22,21,0
2026-01-23,bhs,0,52.2,0.498,17.28,0,77.7,4,23,22,4
2026-01-24,bhs,0,47.58,0.675,26.79,4,63.55,5,24,23,5
2026-01-25,bhs,0,49.02,0.584,19.59,5,59.58,6,25,24,2
2026-01-26,bhs,0,54.18,0.472,13.24,2,65.33,0,26,25,5
2026-01-27,bhs,0,54.1,0.668,20.17,5,68.88,1,27,26,5
2026-01-28,bhs,0,53.9,0.608,18.14,5,89.72,2,28,27,5
2026-01-29,bhs,0,53.02,0.659,24.59,5,68.61,3,29,28,7
2026-01-30,bhs,0,54.0,0.588,17.05,7,60.88,4,30,29,7
2026-01-31,bhs,0,50.14,0.539,14.58,7,72.83,5,31,30,5
2026-02-01,bhs,0,50.92,0.562,16.17,5,65.13,6,1,31,6
2026-02-02,bhs,0,55.57,0.518,18.76,6,50.48,0,2,32,4
2026-02-03,bhs,0,57.07,0.504,8.69,4,49.83,1,3,33,7
2026-02-04,bhs,0,56.02,0.537,19.85,7,76.98,2,4,34,6
2026-02-05,bhs,0,57.28,0.544,29.83,6,84.79,3,5,35,6
2026-02-06,bhs,0,55.8,0.498,31.07,6,58.6,4,6,36,4
2026-02-07,bhs,0,51.47,0.6,7.64,4,67.34,5,7,37,2
2026-02-08,bhs,0,52.45,0.638,15.95,2,66.47,6,8,38,3
2026-02-09,bhs,0,56.19,0.585,13.84,3,68.42,0,9,39,4
2026-02-10,bhs,0,56.77,0.588,19.2,4,60.26,1,10,40,5
2026-02-11,bhs,0,55.74,0.514,22.47,5,65.11,2,11,41,6
2026-02-12,bhs,0,56.24,0.659,28.49,6,43.33,3,12,42,4
2026-02-13,bhs,0,55.03,0.515,17.45,4,70.04,4,13,43,5
2026-02-14,bhs,0,51.53,0.672,6.19,5,84.55,5,14,44,0
2026-02-15,bhs,0,51.47,0.511,14.74,0,76.69,6,15,45,2
2026-02-16,bhs,0,54.31,0.712,16.57,2,56.23,0,16,46,4
2026-02-17,bhs,0,53.47,0.543,30.52,4,69.58,1,17,47,2
2026-02-18,bhs,0,53.38,0.603,20.76,2,78.4,2,18,48,0
2026-02-19,bhs,0,53.65,0.786,16.44,0,57.5,3,19,49,9
2026-02-20,bhs,1,52.13,0.763,26.7,9,65.04,4,20,50,10
2026-02-21,bhs,1,48.73,0.563,37.97,10,90.35,5,21,51,4
2026-02-22,bhs,0,48.33,0.71,7.92,4,64.02,6,22,52,2
2026-02-23,bhs,0,53.57,0.529,21.21,2,60.47,0,23,53,7
2026-02-24,bhs,0,54.83,0.554,17.12,7,90.86,1,24,54,1
2026-02-25,bhs,0,52.5,0.536,30.11,1,61.1,2,25,55,3
2026-02-26,bhs,0,53.49,0.514,25.32,3,86.65,3,26,56,4
2026-02-27,bhs,0,54.7,0.522,2.0,4,72.41,4,27,57,3
2026-02-28,bhs,0,49.93,0.444,26.77,3,70.06,5,28,58,2
2026-03-01,bhs,0,50.06,0.481,24.25,2,54.08,6,1,59,6
2026-03-02,bhs,0,54.73,0.549,14.93,6,59.29,0,2,60,6
2026-03-03,bhs,0,54.96,0.578,27.51,6,77.87,1,3,61,1
2026-03-04,bhs,0,55.38,0.539,27.63,1,68.55,2,4,62,8
2026-03-05,bhs,0,56.53,0.638,16.39,8,69.61,3,5,63,4
2026-03-06,bhs,0,56.48,0.44,21.83,4,56.54,4,6,64,2
2026-03-07,bhs,0,51.41,0.627,13.3,2,51.18,5,7,65,6
2026-03-08,bhs,0,52.84,0.613,6.8,6,73.81,6,8,66,6
2026-03-09,bhs,0,56.62,0.351,3.24,6,71.72,0,9,67,5
2026-03-10,bhs,0,54.29,0.684,9.52,5,61.21,1,10,68,8
2026-03-11,bhs,0,56.5,0.583,31.24,8,69.88,2,11,69,5
2026-03-12,bhs,0,56.03,0.602,20.02,5,60.17,3,12,70,2
2026-03-13,bhs,0,56.41,0.572,5.3,2,73.33,4,13,71,5
2026-03-14,bhs,0,51.53,0.569,18.01,5,54.41,5,14,72,6
2026-03-15,bhs,0,51.38,0.492,17.6,6,69.05,6,15,73,2
2026-01-01,eri,1,53.05,0.691,31.08,7,72.7,3,1,0,2
2026-01-02,eri,0,52.7,0.468,19.34,2,74.03,4,2,1,10
2026-01-03,eri,0,50.72,0.508,11.43,10,88.63,5,3,2,9
2026-01-04,eri,0,50.73,0.474,6.38,9,64.96,6,4,3,3
2026-01-05,eri,0,54.88,0.486,18.99,3,71.57,0,5,4,6
2026-01-06,eri,0,54.89,0.571,14.01,6,81.98,1,6,5,5
2026-01-07,eri,0,53.95,0.691,15.05,5,82.0,2,7,6,1
2026-01-08,eri,0,53.27,0.521,18.47,1,68.39,3,8,7,8
2026-01-09,eri,0,54.01,0.602,14.51,8,97.73,4,9,8,4
2026-01-10,eri,0,51.8,0.617,15.39,4,62.42,5,10,9,6
2026-01-11,eri,0,48.51,0.453,21.61,6,79.44,6,11,10,8
2026-01-12,eri,0,53.27,0.565,10.0,8,61.15,0,12,11,4
2026-01-13,eri,0,53.53,0.507,12.9,4,77.37,1,13,12,2
2026-01-14,eri,0,52.96,0.592,14.98,2,48.73,2,14,13,5
2026-01-15,eri,0,52.56,0.66,34.32,5,66.55,3,15,14,3
2026-01-16,eri,0,52.09,0.66,21.92,3,60.05,4,16,15,3
2026-01-17,eri,0,47.39,0.512,17.39,3,73.08,5,17,16,4
2026-01-18,eri,0,49.95,0.471,24.5,4,83.98,6,18,17,5
2026-01-19,eri,0,52.92,0.528,23.82,5,57.93,0,19,18,2
2026-01-20,eri,0,51.98,0.562,26.14,2,71.34,1,20,19,3
2026-01-21,eri,0,49.76,0.547,18.38,3,68.14,2,21,20,4
2026-01-22,eri,0,49.62,0.617,26.91,4,56.12,3,22,21,8
2026-01-23,eri,0,51.62,0.634,28.29,8,80.77,4,23,22,3
2026-01-24,eri,0,46.24,0.545,12.87,3,75.48,5,24,23,5
2026-01-25,eri,0,47.87,0.507,12.07,5,77.77,6,25,24,2
2026-01-26,eri,0,50.91,0.568,14.05,2,74.84,0,26,25,4
2026-01-27,eri,0,52.09,0.55,13.81,4,67.31,1,27,26,0
2026-01-28,eri,0,52.3,0.568,2.0,0,44.11,2,28,27,3
2026-01-29,eri,0,52.6,0.541,26.85,3,83.21,3,29,28,6
2026-01-30,eri,0,54.77,0.547,18.63,6,81.76,4,30,29,8
2026-01-31,eri,0,47.89,0.379,31.35,8,64.66,5,31,30,2
2026-02-01,eri,0,49.37,0.525,24.27,2,73.16,6,1,31,5
2026-02-02,eri,0,53.99,0.55,18.72,5,63.75,0,2,32,5
2026-02-03,eri,0,52.46,0.775,7.07,5,70.77,1,3,33,1
2026-02-04,eri,0,52.37,0.703,17.58,1,60.38,2,4,34,3
2026-02-05,eri,0,53.79,0.491,31.21,3,64.0,3,5,35,2
2026-02-06,eri,0,55.44,0.725,10.56,2,77.63,4,6,36,5
2026-02-07,eri,0,50.11,0.425,25.23,5,69.81,5,7,37,4
2026-02-08,eri,0,49.19,0.683,20.12,4,77.8,6,8,38,6
2026-02-09,eri,0,52.99,0.609,15.2,6,76.72,0,9,39,4
2026-02-10,eri,0,54.59,0.542,16.29,4,77.69,1,10,40,4
2026-02-11,eri,0,54.41,0.464,6.64,4,68.5,2,11,41,4
2026-02-12,eri,0,54.24,0.588,17.21,4,68.28,3,12,42,4
2026-02-13,eri,0,52.36,0.557,24.75,4,82.16,4,13,43,0
2026-02-14,eri,0,48.96,0.619,7.23,0,49.75,5,14,44,3
2026-02-15,eri,0,47.95,0.508,15.05,3,61.05,6,15,45,7
2026-02-16,eri,1,51.05,0.592,27.95,7,75.32,0,16,46,6
2026-02-17,eri,1,49.97,0.532,20.61,6,80.45,1,17,47,4
2026-02-18,eri,0,51.28,0.616,24.27,4,75.09,2,18,48,8
2026-02-19,eri,0,52.01,0.485,2.0,8,71.72,3,19,49,4
2026-02-20,eri,0,50.87,0.676,13.93,4,65.8,4,20,50,8
2026-02-21,eri,0,48.05,0.563,19.15,8,53.74,5,21,51,7
2026-02-22,eri,0,47.37,0.652,24.9,7,50.22,6,22,52,6
2026-02-23,eri,0,51.12,0.633,20.14,6,52.89,0,23,53,7
2026-02-24,eri,0,49.09,0.62,18.77,7,62.47,1,24,54,3
2026-02-25,eri,0,51.79,0.598,22.08,3,82.27,2,25,55,3
2026-02-26,eri,0,50.63,0.579,24.86,3,66.17,3,26,56,7
2026-02-27,eri,0,52.9,0.683,21.38,7,98.0,4,27,57,6
2026-02-28,eri,1,47.82,0.487,22.4,6,72.16,5,28,58,5
2026-03-01,eri,0,47.13,0.494,12.39,5,83.9,6,1,59,5
2026-03-02,eri,0,55.8,0.666,19.96,5,79.84,0,2,60,1
2026-03-03,eri,0,53.17,0.572,22.61,1,55.88,1,3,61,1
2026-03-04,eri,0,53.44,0.373,2.0,1,44.64,2,4,62,5
2026-03-05,eri,0,52.93,0.458,17.17,5,74.81,3,5,63,3
2026-03-06,eri,0,52.48,0.566,30.1,3,60.91,4,6,64,9
2026-03-07,eri,0,49.47,0.455,16.0,9,59.68,5,7,65,6
2026-03-08,eri,0,51.44,0.567,15.63,6,75.35,6,8,66,4
2026-03-09,eri,0,54.19,0.412,6.75,4,89.41,0,9,67,4
2026-03-10,eri,0,55.08,0.575,14.94,4,79.7,1,10,68,5
2026-03-11,eri,0,55.12,0.546,16.15,5,69.19,2,11,69,7
2026-03-12,eri,0,54.29,0.728,16.94,7,40.49,3,12,70,3
2026-03-13,eri,0,53.25,0.605,21.94,3,55.2,4,13,71,3
2026-03-14,eri,0,48.45,0.42,2.84,3,76.82,5,14,72,6
2026-03-15,eri,0,47.67,0.479,6.39,6,76.93,6,15,73,5
2026-01-01,gra,0,52.32,0.552,13.19,3,78.88,3,1,0,5
2026-01-02,gra,0,53.63,0.413,28.25,5,78.72,4,2,1,5
2026-01-03,gra,0,48.63,0.55,11.89,5,52.12,5,3,2,3
2026-01-04,gra,0,49.64,0.497,10.06,3,70.83,6,4,3,2
2026-01-05,gra,0,54.26,0.495,10.18,2,83.23,0,5,4,1
2026-01-06,gra,0,55.39,0.5,20.25,1,73.07,1,6,5,0
2026-01-07,gra,0,54.25,0.65,26.79,0,73.57,2,7,6,4
2026-01-08,gra,0,54.17,0.649,15.02,4,63.94,3,8,7,2
2026-01-09,gra,0,54.93,0.52,6.13,2,61.72,4,9,8,4
2026-01-10,gra,0,49.42,0.697,18.71,4,54.22,5,10,9,4
2026-01-11,gra,0,50.12,0.505,10.46,4,60.17,6,11,10,7
2026-01-12,gra,0,54.52,0.535,17.93,7,44.54,0,12,11,6
2026-01-13,gra,0,53.62,0.608,17.94,6,93.84,1,13,12,5
2026-01-14,gra,0,53.06,0.608,11.84,5,62.76,2,14,13,3
2026-01-15,gra,0,52.87,0.54,23.58,3,67.7,3,15,14,7
2026-01-16,gra,0,51.69,0.566,28.97,7,54.45,4,16,15,2
2026-01-17,gra,0,49.1,0.545,23.53,2,87.04,5,17,16,5
2026-01-18,gra,0,47.67,0.442,16.09,5,79.12,6,18,17,2
2026-01-19,gra,0,51.78,0.604,15.41,2,90.92,0,19,18,9
2026-01-20,gra,0,51.47,0.469,3.44,9,67.92,1,20,19,2
2026-01-21,gra,0,49.81,0.556,16.5,2,63.08,2,21,20,7
2026-01-22,gra,0,51.41,0.653,21.46,7,54.5,3,22,21,1
2026-01-23,gra,0,51.25,0.573,20.91,1,56.23,4,23,22,4
2026-01-24,gra,0,47.48,0.607,23.74,4,53.52,5,24,23,8
2026-01-25,gra,0,47.37,0.527,14.81,8,81.3,6,25,24,3
2026-01-26,gra,0,50.71,0.721,4.18,3,59.83,0,26,25,7
2026-01-27,gra,0,51.67,0.699,25.33,7,71.88,1,27,26,3
2026-01-28,gra,0,52.98,0.474,14.75,3,92.05,2,28,27,5
2026-01-29,gra,0,52.43,0.61,16.17,5,61.67,3,29,28,7
2026-01-30,gra,0,53.35,0.508,12.67,7,68.31,4,30,29,6
2026-01-31,gra,1,48.33,0.572,21.39,6,55.32,5,31,30,11
2026-02-01,gra,1,48.95,0.678,13.58,11,82.46,6,1,31,7
2026-02-02,gra,1,54.62,0.664,31.36,7,58.45,0,2,32,3
2026-02-03,gra,0,54.61,0.521,18.46,3,82.57,1,3,33,7
2026-02-04,gra,0,54.78,0.499,15.8,7,68.7,2,4,34,3
2026-02-05,gra,0,54.37,0.608,14.23,3,93.28,3,5,35,2
2026-02-06,gra,0,54.35,0.531,24.91,2,53.78,4,6,36,6
2026-02-07,gra,0,49.8,0.485,15.83,6,59.29,5,7,37,4
2026-02-08,gra,0,49.26,0.577,15.24,4,58.25,6,8,38,4
2026-02-09,gra,0,53.55,0.5,16.7,4,81.72,0,9,39,6
2026-02-10,gra,0,53.61,0.419,9.21,6,81.93,1,10,40,6
2026-02-11,gra,0,53.45,0.493,21.43,6,56.11,2,11,41,2
2026-02-12,gra,0,53.26,0.487,9.23,2,49.43,3,12,42,3
2026-02-13,gra,0,52.17,0.518,12.5,3,62.38,4,13,43,2
2026-02-14,gra,0,48.67,0.702,8.72,2,67.76,5,14,44,3
2026-02-15,gra,0,48.42,0.72,12.78,3,48.14,6,15,45,3
2026-02-16,gra,0,51.85,0.664,9.8,3,64.16,0,16,46,5
2026-02-17,gra,0,51.78,0.503,25.14,5,54.9,1,17,47,4
2026-02-18,gra,0,51.67,0.503,24.75,4,66.27,2,18,48,7
2026-02-19,gra,0,51.55,0.552,23.88,7,49.79,3,19,49,4
2026-02-20,gra,0,51.67,0.426,13.71,4,78.48,4,20,50,6
2026-02-21,gra,0,47.06,0.582,22.47,6,69.26,5,21,51,4
2026-02-22,gra,0,47.64,0.488,9.77,4,81.18,6,22,52,5
2026-02-23,gra,0,51.61,0.653,23.95,5,67.18,0,23,53,5
2026-02-24,gra,0,51.32,0.411,19.95,5,83.36,1,24,54,1
2026-02-25,gra,0,52.3,0.516,27.2,1,83.47,2,25,55,3
2026-02-26,gra,0,52.36,0.524,31.0,3,79.22,3,26,56,3
2026-02-27,gra,0,51.48,0.442,28.12,3,55.55,4,27,57,1
2026-02-28,gra,0,48.64,0.484,19.3,1,68.36,5,28,58,2
2026-03-01,gra,0,48.12,0.525,19.1,2,76.74,6,1,59,4
2026-03-02,gra,0,53.13,0.563,15.01,4,64.24,0,2,60,2
2026-03-03,gra,0,53.91,0.555,25.59,2,77.25,1,3,61,4
2026-03-04,gra,0,53.16,0.702,18.24,4,73.62,2,4,62,4
2026-03-05,gra,0,54.68,0.682,12.11,4,75.34,3,5,63,7
2026-03-06,gra,0,54.55,0.518,18.58,7,67.4,4,6,64,5
2026-03-07,gra,1,49.6,0.639,27.67,5,66.85,5,7,65,1
2026-03-08,gra,0,51.23,0.567,11.73,1,38.81,6,8,66,6
2026-03-09,gra,1,53.67,0.811,23.65,6,64.82,0,9,67,10
2026-03-10,gra,0,54.79,0.626,13.92,10,64.04,1,10,68,1
2026-03-11,gra,0,54.47,0.585,18.01,1,86.5,2,11,69,4
2026-03-12,gra,0,54.33,0.482,3.36,4,68.8,3,12,70,5
2026-03-13,gra,0,53.33,0.48,17.71,5,46.53,4,13,71,6
2026-03-14,gra,1,49.12,0.834,27.85,6,85.86,5,14,72,7
2026-03-15,gra,0,48.45,0.666,22.6,7,69.6,6,15,73,6
2026-01-01,lim,0,55.23,0.618,12.42,5,75.15,3,1,0,3
2026-01-02,lim,0,55.89,0.503,17.46,3,85.63,4,2,1,2
2026-01-03,lim,0,52.25,0.487,2.0,2,88.56,5,3,2,8
2026-01-04,lim,0,51.66,0.7,26.4,8,90.4,6,4,3,7
2026-01-05,lim,0,57.66,0.708,36.04,7,66.16,0,5,4,2
2026-01-06,lim,0,56.04,0.481,17.82,2,77.54,1,6,5,3
2026-01-07,lim,0,57.77,0.698,4.11,3,73.16,2,7,6,2
2026-01-08,lim,0,56.28,0.475,20.3,2,47.79,3,8,7,5
2026-01-09,lim,0,59.05,0.538,26.28,5,52.71,4,9,8,1
2026-01-10,lim,0,54.23,0.461,12.69,1,67.07,5,10,9,6
2026-01-11,lim,0,51.04,0.508,10.41,6,62.54,6,11,10,7
2026-01-12,lim,0,55.08,0.679,20.72,7,72.46,0,12,11,6
2026-01-13,lim,0,55.22,0.525,15.43,6,63.6,1,13,12,4
2026-01-14,lim,0,54.56,0.691,29.37,4,90.68,2,14,13,4
2026-01-15,lim,0,56.07,0.625,17.93,4,50.1,3,15,14,3
2026-01-16,lim,0,57.5,0.491,14.46,3,58.47,4,16,15,3
2026-01-17,lim,0,50.63,0.734,19.21,3,63.21,5,17,16,3
2026-01-18,lim,0,49.25,0.493,25.94,3,88.21,6,18,17,5
2026-01-19,lim,0,53.97,0.658,23.04,5,87.26,0,19,18,13
2026-01-20,lim,1,54.45,0.701,20.57,13,93.68,1,20,19,6
2026-01-21,lim,0,52.84,0.441,27.99,6,82.23,2,21,20,4
2026-01-22,lim,0,52.89,0.625,16.93,4,64.82,3,22,21,8
2026-01-23,lim,0,53.41,0.538,34.05,8,63.91,4,23,22,3
2026-01-24,lim,0,49.78,0.642,18.36,3,61.49,5,24,23,4
2026-01-25,lim,0,48.97,0.579,16.18,4,68.49,6,25,24,5
2026-01-26,lim,0,54.5,0.552,15.01,5,65.15,0,26,25,5
2026-01-27,lim,0,53.17,0.561,24.49,5,72.42,1,27,26,3
2026-01-28,lim,0,53.95,0.528,12.37,3,53.03,2,28,27,7
2026-01-29,lim,0,54.07,0.593,15.33,7,74.33,3,29,28,7
2026-01-30,lim,1,55.14,0.488,24.96,7,74.69,4,30,29,4
2026-01-31,lim,0,51.39,0.489,26.35,4,66.85,5,31,30,8
2026-02-01,lim,0,52.29,0.633,18.91,8,72.23,6,1,31,3
2026-02-02,lim,0,56.13,0.56,26.31,3,65.89,0,2,32,5
2026-02-03,lim,0,55.52,0.381,17.17,5,71.12,1,3,33,7
2026-02-04,lim,0,55.44,0.412,15.8,7,66.89,2,4,34,7
