date,region,scheduled_maintenance,avg_rack_temperature_c,power_usage_mw,network_latency_ms,support_tickets,capacity_used_pct,day_of_week,day_of_month,days_since_start,support_tickets_next_1d
2026-02-05,lim,0,56.96,0.588,2.0,7,47.32,3,5,35,4
2026-02-06,lim,0,57.21,0.527,24.06,4,71.93,4,6,36,3
2026-02-07,lim,0,53.32,0.54,19.27,3,53.96,5,7,37,3
2026-02-08,lim,0,52.73,0.52,16.56,3,60.67,6,8,38,5
2026-02-09,lim,0,56.41,0.582,22.17,5,72.29,0,9,39,7
2026-02-10,lim,0,56.48,0.56,16.16,7,49.49,1,10,40,3
2026-02-11,lim,0,55.26,0.656,5.67,3,64.67,2,11,41,5
2026-02-12,lim,1,54.16,0.621,26.09,5,71.92,3,12,42,8
2026-02-13,lim,0,54.45,0.64,22.52,8,83.94,4,13,43,5
2026-02-14,lim,0,49.67,0.579,21.61,5,81.35,5,14,44,6
2026-02-15,lim,0,51.1,0.584,16.66,6,47.29,6,15,45,3
2026-02-16,lim,0,54.93,0.564,15.11,3,53.74,0,16,46,7
2026-02-17,lim,1,54.69,0.65,31.77,7,86.63,1,17,47,4
2026-02-18,lim,0,51.98,0.523,15.71,4,51.78,2,18,48,4
2026-02-19,lim,0,52.91,0.693,22.82,4,65.19,3,19,49,3
2026-02-20,lim,0,53.22,0.458,27.64,3,78.76,4,20,50,6
2026-02-21,lim,1,49.02,0.633,19.52,6,75.52,5,21,51,4
2026-02-22,lim,0,48.53,0.542,23.01,4,66.96,6,22,52,5
2026-02-23,lim,0,53.86,0.516,23.11,5,65.84,0,23,53,2
2026-02-24,lim,0,53.25,0.469,18.25,2,91.8,1,24,54,2
2026-02-25,lim,0,53.21,0.742,28.68,2,74.89,2,25,55,1
2026-02-26,lim,0,54.74,0.628,19.37,1,64.45,3,26,56,3
2026-02-27,lim,0,54.03,0.481,20.96,3,45.44,4,27,57,9
2026-02-28,lim,1,50.25,0.446,12.68,9,80.19,5,28,58,1
2026-03-01,lim,0,51.78,0.739,17.09,1,66.99,6,1,59,7
2026-03-02,lim,0,56.67,0.749,19.53,7,74.68,0,2,60,5
2026-03-03,lim,0,56.16,0.75,20.32,5,58.36,1,3,61,4
2026-03-04,lim,0,55.87,0.383,24.28,4,55.25,2,4,62,4
2026-03-05,lim,0,55.17,0.428,4.57,4,77.71,3,5,63,2
2026-03-06,lim,0,55.57,0.509,11.98,2,63.76,4,6,64,3
2026-03-07,lim,0,51.86,0.749,11.56,3,59.14,5,7,65,3
2026-03-08,lim,0,51.18,0.493,21.99,3,88.98,6,8,66,3
2026-03-09,lim,0,54.95,0.649,23.12,3,41.61,0,9,67,3
2026-03-10,lim,0,55.31,0.562,3.68,3,55.16,1,10,68,1
2026-03-11,lim,0,55.43,0.628,18.57,1,64.91,2,11,69,1
2026-03-12,lim,0,54.6,0.455,15.91,1,69.5,3,12,70,6
2026-03-13,lim,0,56.52,0.586,18.23,6,66.07,4,13,71,2
2026-03-14,lim,0,50.58,0.422,18.77,2,91.14,5,14,72,6
2026-03-15,lim,0,50.39,0.487,16.09,6,50.55,6,15,73,6
2026-01-01,rbx,1,53.0,0.548,35.97,8,67.28,3,1,0,2
2026-01-02,rbx,0,53.11,0.445,17.14,2,62.89,4,2,1,3
2026-01-03,rbx,0,49.62,0.476,21.26,3,55.44,5,3,2,4
2026-01-04,rbx,0,49.97,0.555,33.03,4,59.87,6,4,3,4
2026-01-05,rbx,0,54.42,0.521,16.89,4,88.36,0,5,4,3
2026-01-06,rbx,0,53.41,0.573,20.09,3,79.34,1,6,5,3
2026-01-07,rbx,0,54.42,0.588,16.46,3,86.12,2,7,6,4
2026-01-08,rbx,0,54.47,0.571,26.72,4,64.27,3,8,7,1
2026-01-09,rbx,0,53.92,0.725,29.05,1,92.73,4,9,8,7
2026-01-10,rbx,0,48.86,0.411,28.83,7,86.88,5,10,9,4
2026-01-11,rbx,0,50.01,0.605,18.0,4,52.27,6,11,10,2
2026-01-12,rbx,0,53.52,0.696,16.1,2,74.79,0,12,11,8
2026-01-13,rbx,0,54.05,0.498,14.21,8,47.65,1,13,12,5
2026-01-14,rbx,0,53.86,0.458,7.28,5,75.73,2,14,13,3
2026-01-15,rbx,1,52.41,0.682,24.72,3,76.98,3,15,14,6
2026-01-16,rbx,0,53.21,0.528,15.07,6,71.95,4,16,15,4
2026-01-17,rbx,0,48.25,0.58,25.66,4,73.41,5,17,16,5
2026-01-18,rbx,0,48.22,0.503,16.17,5,40.68,6,18,17,6
2026-01-19,rbx,0,50.31,0.486,11.64,6,73.11,0,19,18,4
2026-01-20,rbx,0,51.8,0.55,20.31,4,57.63,1,20,19,7
2026-01-21,rbx,0,50.88,0.651,24.16,7,54.32,2,21,20,4
2026-01-22,rbx,0,49.94,0.539,22.84,4,75.64,3,22,21,9
2026-01-23,rbx,0,50.45,0.475,26.55,9,83.45,4,23,22,3
2026-01-24,rbx,0,45.26,0.436,25.86,3,62.44,5,24,23,11
2026-01-25,rbx,1,47.14,0.755,10.19,11,73.24,6,25,24,7
2026-01-26,rbx,0,50.71,0.526,19.98,7,64.42,0,26,25,6
2026-01-27,rbx,0,52.62,0.616,11.25,6,60.73,1,27,26,1
2026-01-28,rbx,0,51.19,0.456,27.87,1,71.96,2,28,27,5
2026-01-29,rbx,0,51.78,0.436,26.99,5,64.53,3,29,28,3
2026-01-30,rbx,0,53.6,0.642,16.54,3,93.45,4,30,29,2
2026-01-31,rbx,0,48.21,0.388,16.78,2,69.61,5,31,30,4
2026-02-01,rbx,0,49.04,0.56,20.33,4,86.3,6,1,31,10
2026-02-02,rbx,1,53.02,0.633,20.77,10,73.53,0,2,32,6
2026-02-03,rbx,0,53.77,0.595,6.91,6,75.91,1,3,33,1
2026-02-04,rbx,0,53.31,0.56,24.14,1,73.2,2,4,34,2
2026-02-05,rbx,0,54.47,0.531,17.89,2,61.2,3,5,35,6
2026-02-06,rbx,0,53.64,0.52,21.75,6,70.01,4,6,36,3
2026-02-07,rbx,0,50.32,0.651,23.59,3,71.75,5,7,37,8
2026-02-08,rbx,1,50.24,0.554,16.84,8,53.91,6,8,38,5
2026-02-09,rbx,0,55.1,0.475,9.43,5,75.26,0,9,39,6
2026-02-10,rbx,0,54.81,0.491,21.61,6,71.9,1,10,40,3
2026-02-11,rbx,0,53.66,0.559,15.53,3,77.07,2,11,41,5
2026-02-12,rbx,0,54.25,0.457,21.86,5,58.56,3,12,42,2
2026-02-13,rbx,0,53.87,0.673,17.9,2,70.48,4,13,43,5
2026-02-14,rbx,0,49.55,0.548,31.47,5,87.09,5,14,44,7
2026-02-15,rbx,0,48.21,0.707,8.97,7,65.87,6,15,45,3
2026-02-16,rbx,0,52.76,0.542,24.82,3,77.87,0,16,46,5
2026-02-17,rbx,0,51.6,0.551,18.67,5,69.6,1,17,47,5
2026-02-18,rbx,0,51.99,0.484,20.59,5,63.25,2,18,48,3
2026-02-19,rbx,0,52.23,0.542,7.67,3,86.15,3,19,49,8
2026-02-20,rbx,1,50.89,0.763,17.22,8,66.44,4,20,50,4
2026-02-21,rbx,1,47.7,0.588,26.15,4,78.5,5,21,51,2
2026-02-22,rbx,0,47.37,0.444,16.18,2,65.4,6,22,52,4
2026-02-23,rbx,0,51.29,0.436,29.09,4,58.08,0,23,53,3
2026-02-24,rbx,0,51.14,0.627,2.63,3,60.08,1,24,54,2
2026-02-25,rbx,0,51.08,0.509,18.68,2,59.68,2,25,55,1
2026-02-26,rbx,0,52.35,0.696,9.47,1,53.3,3,26,56,1
2026-02-27,rbx,0,51.54,0.735,26.22,1,68.76,4,27,57,4
2026-02-28,rbx,0,48.14,0.648,21.77,4,59.17,5,28,58,6
2026-03-01,rbx,0,48.2,0.512,16.74,6,83.75,6,1,59,3
2026-03-02,rbx,0,52.98,0.582,11.6,3,74.11,0,2,60,4
2026-03-03,rbx,0,53.06,0.617,4.31,4,77.31,1,3,61,7
2026-03-04,rbx,0,53.69,0.457,27.55,7,79.75,2,4,62,7
2026-03-05,rbx,0,53.66,0.442,22.44,7,56.99,3,5,63,3
2026-03-06,rbx,0,53.58,0.428,10.53,3,66.12,4,6,64,4
2026-03-07,rbx,0,49.4,0.379,6.92,4,76.7,5,7,65,5
2026-03-08,rbx,1,50.72,0.761,28.46,5,65.55,6,8,66,4
2026-03-09,rbx,0,53.56,0.686,21.71,4,75.71,0,9,67,5
2026-03-10,rbx,0,53.6,0.464,24.75,5,72.57,1,10,68,7
2026-03-11,rbx,0,54.64,0.617,10.44,7,50.28,2,11,69,6
2026-03-12,rbx,0,55.07,0.473,23.35,6,76.27,3,12,70,1
2026-03-13,rbx,0,54.49,0.409,18.49,1,61.72,4,13,71,2
2026-03-14,rbx,0,48.74,0.411,12.51,2,82.33,5,14,72,7
2026-03-15,rbx,0,48.48,0.784,9.01,7,52.17,6,15,73,4
2026-01-01,sbg,0,54.79,0.505,12.95,3,79.26,3,1,0,3
2026-01-02,sbg,1,53.32,0.648,31.88,3,59.39,4,2,1,2
2026-01-03,sbg,0,49.15,0.501,11.07,2,81.78,5,3,2,3
2026-01-04,sbg,0,49.89,0.589,20.23,3,69.53,6,4,3,5
2026-01-05,sbg,0,54.69,0.281,11.94,5,60.29,0,5,4,2
2026-01-06,sbg,0,54.57,0.603,12.18,2,75.74,1,6,5,6
2026-01-07,sbg,0,55.2,0.579,17.68,6,69.65,2,7,6,2
2026-01-08,sbg,0,54.14,0.425,15.34,2,55.38,3,8,7,6
2026-01-09,sbg,0,54.43,0.622,24.46,6,61.06,4,9,8,3
2026-01-10,sbg,0,50.11,0.669,8.41,3,97.23,5,10,9,9
2026-01-11,sbg,0,50.23,0.702,4.36,9,78.99,6,11,10,9
2026-01-12,sbg,1,54.54,0.608,20.94,9,66.91,0,12,11,3
2026-01-13,sbg,0,52.5,0.405,15.06,3,74.31,1,13,12,6
2026-01-14,sbg,0,53.64,0.581,12.31,6,85.13,2,14,13,6
2026-01-15,sbg,0,52.92,0.541,30.62,6,78.62,3,15,14,3
2026-01-16,sbg,1,52.64,0.654,33.37,3,70.38,4,16,15,3
2026-01-17,sbg,0,48.21,0.564,29.8,3,74.09,5,17,16,4
2026-01-18,sbg,0,46.29,0.498,12.12,4,67.41,6,18,17,8
2026-01-19,sbg,0,52.41,0.709,31.4,8,73.57,0,19,18,2
2026-01-20,sbg,0,50.95,0.465,21.51,2,87.35,1,20,19,3
2026-01-21,sbg,0,51.61,0.419,14.26,3,63.92,2,21,20,11
2026-01-22,sbg,0,50.64,0.656,26.72,11,65.03,3,22,21,2
2026-01-23,sbg,0,51.39,0.586,5.82,2,56.77,4,23,22,2
2026-01-24,sbg,0,47.57,0.546,17.62,2,58.99,5,24,23,2
2026-01-25,sbg,0,46.6,0.415,7.96,2,81.27,6,25,24,3
2026-01-26,sbg,0,51.63,0.592,20.86,3,46.43,0,26,25,5
2026-01-27,sbg,0,51.74,0.585,10.66,5,57.3,1,27,26,2
2026-01-28,sbg,0,51.01,0.441,12.79,2,59.42,2,28,27,6
2026-01-29,sbg,0,52.34,0.526,23.1,6,62.64,3,29,28,4
2026-01-30,sbg,0,53.07,0.658,33.31,4,36.51,4,30,29,2
2026-01-31,sbg,0,48.92,0.46,12.76,2,73.1,5,31,30,4
2026-02-01,sbg,0,50.2,0.543,25.26,4,64.23,6,1,31,1
2026-02-02,sbg,0,53.73,0.735,15.29,1,67.55,0,2,32,6
2026-02-03,sbg,1,53.43,0.681,18.34,6,81.99,1,3,33,2
2026-02-04,sbg,0,54.2,0.493,21.92,2,72.88,2,4,34,1
2026-02-05,sbg,0,55.32,0.609,25.33,1,62.16,3,5,35,4
2026-02-06,sbg,0,55.02,0.56,25.73,4,63.59,4,6,36,1
2026-02-07,sbg,0,50.64,0.655,13.83,1,68.29,5,7,37,5
2026-02-08,sbg,0,51.5,0.484,26.7,5,85.83,6,8,38,7
2026-02-09,sbg,0,53.73,0.462,20.98,7,59.14,0,9,39,3
2026-02-10,sbg,0,54.13,0.328,11.12,3,52.51,1,10,40,4
2026-02-11,sbg,0,52.92,0.443,19.79,4,67.09,2,11,41,4
2026-02-12,sbg,0,52.35,0.56,8.21,4,49.44,3,12,42,3
2026-02-13,sbg,0,52.71,0.546,11.72,3,66.63,4,13,43,4
2026-02-14,sbg,0,48.39,0.554,23.34,4,57.31,5,14,44,3
2026-02-15,sbg,0,47.85,0.61,20.71,3,63.31,6,15,45,8
2026-02-16,sbg,0,53.01,0.623,18.6,8,88.9,0,16,46,3
2026-02-17,sbg,0,51.58,0.564,18.35,3,69.68,1,17,47,4
2026-02-18,sbg,0,51.71,0.607,10.57,4,69.58,2,18,48,6
2026-02-19,sbg,0,51.1,0.449,9.21,6,47.74,3,19,49,2
2026-02-20,sbg,0,49.15,0.57,10.44,2,86.86,4,20,50,5
2026-02-21,sbg,0,46.6,0.584,24.04,5,80.53,5,21,51,6
2026-02-22,sbg,0,46.7,0.409,16.58,6,64.46,6,22,52,2
2026-02-23,sbg,0,50.44,0.474,20.8,2,49.09,0,23,53,3
2026-02-24,sbg,0,51.27,0.603,13.78,3,69.01,1,24,54,4
2026-02-25,sbg,0,50.94,0.699,13.8,4,68.26,2,25,55,1
2026-02-26,sbg,0,51.66,0.611,19.49,1,98.0,3,26,56,4
2026-02-27,sbg,0,52.58,0.706,20.52,4,71.85,4,27,57,4
2026-02-28,sbg,0,48.55,0.538,15.91,4,83.89,5,28,58,9
2026-03-01,sbg,0,47.49,0.515,14.97,9,88.75,6,1,59,5
2026-03-02,sbg,0,53.63,0.507,24.39,5,86.25,0,2,60,5
2026-03-03,sbg,0,53.32,0.404,15.83,5,79.67,1,3,61,2
2026-03-04,sbg,0,53.69,0.577,18.71,2,56.22,2,4,62,3
2026-03-05,sbg,0,54.24,0.515,14.65,3,66.42,3,5,63,3
2026-03-06,sbg,0,53.93,0.515,5.31,3,43.99,4,6,64,4
2026-03-07,sbg,0,49.92,0.553,35.58,4,90.96,5,7,65,6
2026-03-08,sbg,0,49.66,0.504,6.63,6,61.92,6,8,66,7
2026-03-09,sbg,0,54.59,0.623,23.64,7,85.89,0,9,67,6
2026-03-10,sbg,1,53.92,0.567,26.15,6,87.81,1,10,68,2
2026-03-11,sbg,0,53.69,0.694,24.05,2,59.58,2,11,69,4
2026-03-12,sbg,0,53.45,0.514,19.14,4,62.86,3,12,70,2
2026-03-13,sbg,0,53.95,0.516,18.83,2,53.54,4,13,71,6
2026-03-14,sbg,0,49.48,0.455,12.9,6,48.02,5,14,72,6
2026-03-15,sbg,0,49.36,0.601,20.2,6,86.65,6,15,73,5
2026-01-01,waw,0,54.13,0.625,26.59,2,52.46,3,1,0,5
2026-01-02,waw,0,53.59,0.65,23.24,5,66.77,4,2,1,4
2026-01-03,waw,1,50.56,0.559,40.85,4,67.42,5,3,2,5
2026-01-04,waw,0,49.26,0.591,9.66,5,56.23,6,4,3,1
2026-01-05,waw,0,54.2,0.618,18.03,1,67.25,0,5,4,6
2026-01-06,waw,0,53.5,0.524,18.94,6,61.57,1,6,5,5
2026-01-07,waw,0,53.63,0.6,21.48,5,49.86,2,7,6,8
2026-01-08,waw,0,55.29,0.574,17.44,8,63.93,3,8,7,2
2026-01-09,waw,0,54.9,0.483,10.61,2,61.29,4,9,8,2
2026-01-10,waw,0,50.33,0.717,26.73,2,91.89,5,10,9,3
2026-01-11,waw,0,49.71,0.638,14.05,3,80.1,6,11,10,1
2026-01-12,waw,0,54.45,0.548,11.82,1,93.06,0,12,11,3
2026-01-13,waw,0,52.79,0.342,20.89,3,66.61,1,13,12,4
2026-01-14,waw,0,53.43,0.534,14.33,4,71.67,2,14,13,2
2026-01-15,waw,0,53.5,0.529,5.44,2,69.85,3,15,14,2
2026-01-16,waw,0,52.01,0.618,14.9,2,80.34,4,16,15,5
2026-01-17,waw,0,49.94,0.476,20.17,5,67.2,5,17,16,11
2026-01-18,waw,1,47.93,0.639,35.07,11,51.27,6,18,17,4
2026-01-19,waw,1,52.17,0.571,23.73,4,70.41,0,19,18,13
2026-01-20,waw,1,51.0,0.715,30.06,13,57.33,1,20,19,8
2026-01-21,waw,0,51.74,0.473,2.0,8,72.42,2,21,20,2
2026-01-22,waw,0,51.8,0.624,15.5,2,55.36,3,22,21,5
2026-01-23,waw,0,51.65,0.579,13.75,5,80.25,4,23,22,4
2026-01-24,waw,0,47.38,0.688,10.26,4,90.83,5,24,23,9
2026-01-25,waw,0,47.24,0.647,16.83,9,86.16,6,25,24,6
2026-01-26,waw,0,51.4,0.589,17.02,6,59.23,0,26,25,3
2026-01-27,waw,0,52.71,0.53,23.16,3,73.7,1,27,26,6
2026-01-28,waw,0,52.9,0.5,19.02,6,58.43,2,28,27,3
2026-01-29,waw,0,52.56,0.57,24.55,3,56.58,3,29,28,3
2026-01-30,waw,0,53.45,0.472,2.0,3,66.78,4,30,29,3
2026-01-31,waw,0,49.2,0.606,15.49,3,62.95,5,31,30,5
2026-02-01,waw,0,47.43,0.529,7.22,5,58.73,6,1,31,5
2026-02-02,waw,0,53.12,0.495,16.87,5,58.85,0,2,32,4
2026-02-03,waw,0,53.59,0.709,15.41,4,75.98,1,3,33,2
2026-02-04,waw,0,55.05,0.697,16.32,2,47.03,2,4,34,3
2026-02-05,waw,0,54.43,0.539,21.95,3,68.72,3,5,35,2
2026-02-06,waw,0,55.07,0.505,13.15,2,60.46,4,6,36,6
2026-02-07,waw,0,49.17,0.6,19.04,6,51.62,5,7,37,7
2026-02-08,waw,0,51.05,0.601,24.66,7,98.0,6,8,38,3
2026-02-09,waw,0,55.13,0.618,8.77,3,84.08,0,9,39,5
2026-02-10,waw,1,55.14,0.712,10.27,5,58.24,1,10,40,6
2026-02-11,waw,0,53.1,0.616,30.6,6,68.87,2,11,41,11
2026-02-12,waw,1,54.2,0.596,28.16,11,53.36,3,12,42,2
2026-02-13,waw,0,53.28,0.606,13.21,2,77.94,4,13,43,8
2026-02-14,waw,0,48.73,0.641,19.58,8,66.12,5,14,44,3
2026-02-15,waw,0,49.11,0.554,16.38,3,67.9,6,15,45,5
2026-02-16,waw,0,52.66,0.654,12.91,5,55.34,0,16,46,3
2026-02-17,waw,0,52.21,0.682,22.56,3,80.88,1,17,47,2
2026-02-18,waw,0,50.79,0.547,12.85,2,82.18,2,18,48,6
2026-02-19,waw,0,51.09,0.656,16.68,6,76.86,3,19,49,5
2026-02-20,waw,0,50.32,0.561,9.18,5,51.42,4,20,50,4
2026-02-21,waw,1,48.08,0.6,31.75,4,70.47,5,21,51,2
2026-02-22,waw,0,48.49,0.543,29.45,2,64.2,6,22,52,9
2026-02-23,waw,0,52.12,0.69,17.28,9,86.82,0,23,53,3
2026-02-24,waw,0,51.21,0.631,22.5,3,36.11,1,24,54,7
2026-02-25,waw,1,49.79,0.576,33.49,7,77.72,2,25,55,8
2026-02-26,waw,0,52.08,0.669,30.87,8,52.27,3,26,56,4
2026-02-27,waw,0,52.4,0.398,19.63,4,37.78,4,27,57,7
2026-02-28,waw,0,48.88,0.632,15.77,7,86.12,5,28,58,5
2026-03-01,waw,0,50.11,0.64,18.77,5,47.74,6,1,59,3
2026-03-02,waw,0,52.84,0.593,28.1,3,81.51,0,2,60,4
2026-03-03,waw,0,54.23,0.586,7.46,4,58.75,1,3,61,4
2026-03-04,waw,0,55.05,0.568,8.29,4,71.32,2,4,62,5
2026-03-05,waw,0,56.14,0.445,12.1,5,77.25,3,5,63,5
2026-03-06,waw,0,53.23,0.469,14.65,5,90.57,4,6,64,1
2026-03-07,waw,0,49.72,0.493,2.0,1,85.47,5,7,65,6
2026-03-08,waw,0,50.51,0.328,42.0,6,66.95,6,8,66,0
2026-03-09,waw,0,54.92,0.533,26.15,0,77.4,0,9,67,3
2026-03-10,waw,0,54.03,0.566,17.22,3,83.83,1,10,68,3
2026-03-11,waw,0,53.68,0.469,16.18,3,51.56,2,11,69,4
2026-03-12,waw,0,55.45,0.388,12.4,4,68.04,3,12,70,2
2026-03-13,waw,0,53.27,0.6,25.04,2,84.11,4,13,71,9
2026-03-14,waw,1,50.72,0.453,14.9,9,50.06,5,14,72,3
2026-03-15,waw,0,48.4,0.681,19.52,3,45.74,6,15,73,4
